Dates,Total Cases,Daily Cases,Total Recovered,Active Cases
26/02,1,1,0,1
27/02,3,2,0,3
28/02,4,1,0,4
29/02,7,3,0,4
01/03,7,0,0,7
02/03,7,0,0,7
03/03,7,0,0,7
04/03,9,2,0,9
05/03,31,22,0,31
06/03,45,14,0,45
07/03,66,21,0,46
08/03,73,7,0,73
09/03,84,11,0,73
10/03,89,5,0,89
11/03,99,10,0,98
12/03,117,18,2,98
13/03,190,73,2,189
14/03,228,38,8,217
15/03,331,103,10,319
16/03,352,21,10,319
17/03,387,35,14,374
18/03,418,31,14,405
19/03,464,46,19,404
20/03,495,31,19,470
21/03,530,35,19,498
22/03,624,94,19,590
23/03,695,71,29,649
24/03,743,48,32,694
25/03,821,78,36,763
26/03,892,71,42,830
27/03,966,74,52,886
28/03,1061,95,52,977
29/03,1156,95,53,1066
30/03,1212,56,53,1117
31/03,1314,102,53,1213
01/04,1415,101,53,1313
02/04,1544,129,53,1430
03/04,1613,69,53,1472
04/04,1673,60,53,1527
05/04,1735,62,53,1584
06/04,1755,20,269,1407
07/04,1832,77,269,1482
08/04,1884,52,269,1532
09/04,1955,71,269,1599
10/04,2009,54,269,1650
11/04,2081,72,269,1719
12/04,2114,33,269,1747
13/04,2145,31,269,1777
14/04,2170,25,269,1800
15/04,2192,22,269,1821
16/04,2207,15,269,1833
17/04,2224,17,269,1847
18/04,2235,11,269,1856
19/04,2235,0,269,1853
20/04,2245,10,269,1860
21/04,2401,156,269,1703
22/04,2408,7,269,1710
23/04,2463,55,269,1761
24/04,2490,27,269,1783
25/04,2506,16,269,1799
26/04,2517,11,269,1806
27/04,2534,17,269,1821
28/04,2566,32,269,1851
29/04,2576,10,269,1860
30/04,2591,15,1374,1077
01/05,2612,21,1374,1098
02/05,2620,8,1374,1103
03/05,2626,6,1374,1108
04/05,2632,6,1374,1112
05/05,2642,10,1374,1122
06/05,2663,21,1374,1142
07/05,2678,15,1374,1156
08/05,2691,13,1374,1167
09/05,2710,19,1374,1185
10/05,2716,6,1374,1191
11/05,2726,10,1374,1201
12/05,2744,18,1374,1218
13/05,2760,16,1374,1231
14/05,2770,10,1374,1240
15/05,2810,40,1374,1276
16/05,2819,9,1374,1283
17/05,2834,15,1374,1297
18/05,2836,2,1374,1297
19/05,2840,4,1374,1301
20/05,2850,10,1374,1310
21/05,2853,3,1374,1311
22/05,2873,21,1374,1331
23/05,2876,3,1374,1331
24/05,2878,2,1374,1333
25/05,2882,4,1374,1336
26/05,2889,7,1374,1345
27/05,2903,18,1374,1356
28/05,2906,3,1374,1357
29/05,2909,5,1374,1360
30/05,2915,7,1374,1366
31/05,2917,2,1374,1368
01/06,2918,2,1374,1365
02/06,2937,19,1374,1384
03/06,2937,0,1374,1384
04/06,2952,15,1374,1398
05/06,2967,15,1374,1413
06/06,2980,13,1374,1426
07/06,2997,17,1374,1443
08/06,3049,52,1374,1493
09/06,3058,9,1374,1501
10/06,3068,11,1374,1511
11/06,3088,20,1374,1531
12/06,3108,20,1374,1551
13/06,3112,4,1374,1555
14/06,3121,9,1374,1564
15/06,3134,13,1374,1576
16/06,3148,15,1374,1589
17/06,3203,55,1374,1642
18/06,3227,24,1374,1665
19/06,3237,10,1374,1674
20/06,3256,19,1374,1692
21/06,3266,10,1374,1702
22/06,3287,21,1374,1723
23/06,3302,16,1374,1738
24/06,3310,8,1374,1746
25/06,3321,13,1374,1756
26/06,3343,22,1374,1778
27/06,3366,23,1374,1801
28/06,3376,10,1374,1811
29/06,3390,15,1374,1825
30/06,3409,20,1374,1843
01/07,3432,23,1374,1866
02/07,3458,28,1374,1892
03/07,3486,28,1374,1920
04/07,3511,25,1374,1945
05/07,3519,9,1374,1953
06/07,3562,43,1374,1996
07/07,3589,27,1374,2022
08/07,3622,33,1374,2055
09/07,3672,50,1374,2105
10/07,3732,60,1374,2165
11/07,3772,41,1374,2205
12/07,3803,31,1374,2236
13/07,3826,24,1374,2259
14/07,3883,58,1374,2316
15/07,3910,27,1374,2343
16/07,3939,35,1374,2372
17/07,3964,28,1374,2396
18/07,3983,19,1374,2415
19/07,4007,24,1374,2439
20/07,4012,11,1374,2443
21/07,4048,36,1374,2477
22/07,4077,32,1374,2503
23/07,4110,33,1374,2535
24/07,4135,26,1374,2560
25/07,4166,31,1374,2591
26/07,4193,27,1374,2617
27/07,4227,35,1374,2651
28/07,4279,52,1374,2702
29/07,4336,57,1374,2759
30/07,4401,65,1374,2824
31/07,4477,78,3562,709
01/08,4587,110,3562,819
02/08,4662,75,3562,892
03/08,4737,77,3562,965
04/08,4855,121,3562,1084
05/08,4973,124,3562,1201
06/08,5123,153,3562,1351
07/08,5270,151,3562,1498
08/08,5421,152,3562,1648
09/08,5623,203,3562,1849
