Dates,Total Cases,Daily Cases,Total Recovered,Active Cases,Max Temperatures
26/02,1,1,0,1,18.8
27/02,3,2,0,3,18.8
28/02,4,1,0,4,14.9
29/02,7,3,0,4,12.5
01/03,7,0,0,7,15.5
02/03,7,0,0,7,18.6
03/03,7,0,0,7,20.1
04/03,9,2,0,9,17.6
05/03,31,22,0,31,17.7
06/03,45,14,0,45,17.2
07/03,66,21,0,46,18.1
08/03,73,7,0,73,19.5
09/03,84,11,0,73,14.8
10/03,89,5,0,89,16.7
11/03,99,10,0,98,16.1
12/03,117,18,2,98,19.2
13/03,190,73,2,189,23.8
14/03,228,38,8,217,23.2
15/03,331,103,10,319,19.8
16/03,352,21,10,319,9.8
17/03,387,35,14,374,15.4
18/03,418,31,14,405,17.5
19/03,464,46,19,404,14.6
20/03,495,31,19,470,18.2
21/03,530,35,19,498,21.4
22/03,624,94,19,590,16.4
23/03,695,71,29,649,15.9
24/03,743,48,32,694,16.8
25/03,821,78,36,763,12.1
26/03,892,71,42,830,12.0
27/03,966,74,52,886,12.4
28/03,1061,95,52,977,17.1
29/03,1156,95,53,1066,17.3
30/03,1212,56,53,1117,18.3
31/03,1314,102,53,1213,20.0
01/04,1415,101,53,1313,14.8
02/04,1544,129,53,1430,14.7
03/04,1613,69,53,1472,11.8
04/04,1673,60,53,1527,14.5
05/04,1735,62,53,1584,14.1
06/04,1755,20,269,1407,10.5
07/04,1832,77,269,1482,12.1
08/04,1884,52,269,1532,15.1
09/04,1955,71,269,1599,18.6
10/04,2009,54,269,1650,22.0
11/04,2081,72,269,1719,25.5
12/04,2114,33,269,1747,23.0
13/04,2145,31,269,1777,23.1
14/04,2170,25,269,1800,23.5
15/04,2192,22,269,1821,19.5
16/04,2207,15,269,1833,18.2
17/04,2224,17,269,1847,22.9
18/04,2235,11,269,1856,24.5
19/04,2235,0,269,1853,24.9
20/04,2245,10,269,1860,24.5
21/04,2401,156,269,1703,18.1
22/04,2408,7,269,1710,16.7
23/04,2463,55,269,1761,16.9
24/04,2490,27,269,1783,19.6
25/04,2506,16,269,1799,22.4
26/04,2517,11,269,1806,23.0
27/04,2534,17,269,1821,23.5
28/04,2566,32,269,1851,24.7
29/04,2576,10,269,1860,24.4
30/04,2591,15,1374,1077,24.3
01/05,2612,21,1374,1098,25.7
02/05,2620,8,1374,1103,25.7
03/05,2626,6,1374,1108,25.9
04/05,2632,6,1374,1112,21.2
05/05,2642,10,1374,1122,24.2
06/05,2663,21,1374,1142,26.7
07/05,2678,15,1374,1156,20.0
08/05,2691,13,1374,1167,23.5
09/05,2710,19,1374,1185,25.9
10/05,2716,6,1374,1191,27.4
11/05,2726,10,1374,1201,26.7
12/05,2744,18,1374,1218,29.6
13/05,2760,16,1374,1231,31.7
14/05,2770,10,1374,1240,32.4
15/05,2810,40,1374,1276,36.7
16/05,2819,9,1374,1283,38.2
17/05,2834,15,1374,1297,38.7
18/05,2836,2,1374,1297,36.7
19/05,2840,4,1374,1301,33.9
20/05,2850,10,1374,1310,31.8
21/05,2853,3,1374,1311,28.3
22/05,2873,21,1374,1331,21.6
23/05,2876,3,1374,1331,25.9
24/05,2878,2,1374,1333,24.1
25/05,2882,4,1374,1336,24.7
26/05,2889,7,1374,1345,21.0
27/05,2903,18,1374,1356,18.0
28/05,2906,3,1374,1357,22.0
29/05,2909,5,1374,1360,22.1
30/05,2915,7,1374,1366,23.3
31/05,2917,2,1374,1368,23.8
01/06,2918,2,1374,1365,24.3
02/06,2937,19,1374,1384,22.7
03/06,2937,0,1374,1384,23.5
04/06,2952,15,1374,1398,25.4
05/06,2967,15,1374,1413,25.6
06/06,2980,13,1374,1426,26.7
07/06,2997,17,1374,1443,27.3
08/06,3049,52,1374,1493,30.3
09/06,3058,9,1374,1501,31.2
10/06,3068,11,1374,1511,31.1
11/06,3088,20,1374,1531,29.2
12/06,3108,20,1374,1551,28.7
13/06,3112,4,1374,1555,29.2
14/06,3121,9,1374,1564,33.1
15/06,3134,13,1374,1576,32.4
16/06,3148,15,1374,1589,30.5
17/06,3203,55,1374,1642,30.7
18/06,3227,24,1374,1665,31.9
19/06,3237,10,1374,1674,32.8
20/06,3256,19,1374,1692,32.7
21/06,3266,10,1374,1702,32.2
22/06,3287,21,1374,1723,27.8
23/06,3302,16,1374,1738,28.2
24/06,3310,8,1374,1746,27.1
25/06,3321,13,1374,1756,29.9
26/06,3343,22,1374,1778,29.9
27/06,3366,23,1374,1801,30.8
28/06,3376,10,1374,1811,33.0
29/06,3390,15,1374,1825,34.0
